company,sources,headquarters,industry,found_ats,verified_slug,job_count
Intuit,"sp500,sec_edgar","Mountain View, California",Information Technology,,,0
Intuitive Surgical,"sp500,sec_edgar","Sunnyvale, California",Health Care,,,0
Invesco,"sp500,sec_edgar","Atlanta, Georgia",Financials,,,0
Invitation Homes,"sp500,sec_edgar","Dallas, Texas",Real Estate,,,0
IQVIA,sp500,"Durham, North Carolina",Health Care,,,0
Iron Mountain,"sp500,sec_edgar","Portsmouth, New Hampshire",Real Estate,,,0
J.B. Hunt,sp500,"Lowell, Arkansas",Industrials,,,0
Jabil,"sp500,sec_edgar","St. Petersburg, Florida",Information Technology,,,0
Jack Henry & Associates,"sp500,sec_edgar","Monett, Missouri",Financials,,,0
Jacobs Solutions,"sp500,sec_edgar","Dallas, Texas",Industrials,,,0
Johnson & Johnson,"sp500,largest_us,sec_edgar","New Brunswick, New Jersey",Health Care,,,0
Johnson Controls,sp500,"Cork, Ireland",Industrials,,,0
JPMorgan Chase,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Financials,,,0
Kenvue,"sp500,sec_edgar","Skillman, New Jersey",Consumer Staples,,,0
Keurig Dr Pepper,"sp500,sec_edgar","Burlington, Massachusetts",Consumer Staples,,,0
KeyCorp,sp500,"Cleveland, Ohio",Financials,,,0
Keysight Technologies,"sp500,sec_edgar","Santa Rosa, California",Information Technology,,,0
Kimberly-Clark,"sp500,sec_edgar","Irving, Texas",Consumer Staples,,,0
Kimco Realty,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Jericho, New York",Real Estate,,,0
Kinder Morgan,"sp500,sec_edgar,sec_edgar","Houston, Texas",Energy,,,0
KKR & Co.,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Financials,,,0
KLA Corporation,"sp500,sec_edgar","Milpitas, California",Information Technology,,,0
Kraft Heinz,"sp500,sec_edgar","Chicago, Illinois;Pittsburgh, Pennsylvania",Consumer Staples,,,0
Kroger,"sp500,largest_us,sec_edgar","Cincinnati, Ohio",Consumer Staples,,,0
L3Harris,sp500,"Melbourne, Florida",Industrials,,,0
Labcorp,sp500,"Burlington, North Carolina",Health Care,,,0
