company,sources,industry,headquarters
Deckers Brands,sp500,Consumer Discretionary,"Goleta, California"
Deere & Company,"sp500,largest_us,sec_edgar",Industrials,"Moline, Illinois"
Dell Technologies,"sp500,largest_us,sec_edgar",Information Technology,"Round Rock, Texas"
Delta Air Lines,"sp500,largest_us,sec_edgar",Industrials,"Atlanta, Georgia"
Devon Energy,sp500,Energy,"Oklahoma City, Oklahoma"
Dexcom,"sp500,sec_edgar",Health Care,"San Diego, California"
Diamondback Energy,"sp500,sec_edgar",Energy,"Midland, Texas"
Digital Realty,sp500,Real Estate,"Austin, Texas"
Dollar General,"sp500,sec_edgar",Consumer Staples,"Goodlettsville, Tennessee"
Dollar Tree,"sp500,sec_edgar",Consumer Staples,"Chesapeake, Virginia"
Dominion Energy,"sp500,sec_edgar",Utilities,"Richmond, Virginia"
Domino's,sp500,Consumer Discretionary,"Ann Arbor, Michigan"
DoorDash,"sp500,sec_edgar",Consumer Discretionary,"San Francisco, California"
Dover Corporation,"sp500,sec_edgar",Industrials,"Downers Grove, Illinois"
Dow Inc.,"sp500,sec_edgar",Materials,"Midland, Michigan"
D. R. Horton,sp500,Consumer Discretionary,"Arlington, Texas"
DTE Energy,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Utilities,"Detroit, Michigan"
Duke Energy,"sp500,sec_edgar,sec_edgar,sec_edgar",Utilities,"Charlotte, North Carolina"
DuPont,sp500,Materials,"Wilmington, Delaware"
Eaton Corporation,sp500,Industrials,"Dublin, Ireland"
eBay Inc.,"sp500,sec_edgar",Consumer Discretionary,"San Jose, California"
EchoStar,"sp500,sec_edgar",Communication Services,"Englewood, Colorado"
Ecolab,"sp500,sec_edgar",Materials,"Saint Paul, Minnesota"
Edison International,"sp500,sec_edgar",Utilities,"Rosemead, California"
Edwards Lifesciences,"sp500,sec_edgar",Health Care,"Irvine, California"
Electronic Arts,"sp500,sec_edgar",Communication Services,"Redwood City, California"
Elevance Health,"sp500,largest_us,sec_edgar",Health Care,"Indianapolis, Indiana"
Emcor,"sp500,sec_edgar",Industrials,"Norwalk, Connecticut"
Emerson Electric,"sp500,sec_edgar",Industrials,"Ferguson, Missouri"
Entergy,sp500,Utilities,"New Orleans, Louisiana"
EOG Resources,"sp500,sec_edgar",Energy,"Houston, Texas"
EPAM Systems,"sp500,sec_edgar",Information Technology,"Newtown, Pennsylvania"
EQT Corporation,"sp500,sec_edgar",Energy,"Pittsburgh, Pennsylvania"
Equifax,"sp500,sec_edgar",Industrials,"Atlanta, Georgia"
Equinix,"sp500,sec_edgar",Real Estate,"Redwood City, California"
Equity Residential,"sp500,sec_edgar",Real Estate,"Chicago, Illinois"
Erie Indemnity,"sp500,sec_edgar",Financials,"Erie, Pennsylvania"
Essex Property Trust,"sp500,sec_edgar",Real Estate,"San Mateo, California"
Estée Lauder Companies (The),sp500,Consumer Staples,"New York City, New York"
Everest Group,"sp500,sec_edgar",Financials,"Hamilton, Bermuda"
Evergy,"sp500,sec_edgar",Utilities,"Kansas City, Missouri"
Eversource Energy,"sp500,sec_edgar",Utilities,"Hartford, Connecticut"
Exelon,"sp500,sec_edgar",Utilities,"Chicago, Illinois"
Expand Energy,"sp500,sec_edgar",Energy,"Oklahoma City, Oklahoma"
Expedia Group,"sp500,sec_edgar",Consumer Discretionary,"Seattle, Washington"
Expeditors International,sp500,Industrials,"Seattle, Washington"
Extra Space Storage,"sp500,sec_edgar",Real Estate,"Salt Lake City, Utah"
ExxonMobil,"sp500,largest_us,sec_edgar",Energy,"Irving, Texas"
"F5, Inc.","sp500,sec_edgar",Information Technology,"Seattle, Washington"
FactSet,sp500,Financials,"Norwalk, Connecticut"
Fair Isaac,"sp500,sec_edgar",Information Technology,"Bozeman, Montana"
Fastenal,"sp500,sec_edgar",Industrials,"Winona, Minnesota"
Federal Realty Investment Trust,"sp500,sec_edgar,sec_edgar",Real Estate,"Rockville, Maryland"
FedEx,"sp500,largest_us,sec_edgar",Industrials,"Memphis, Tennessee"
Fidelity National Information Services,"sp500,sec_edgar",Financials,"Jacksonville, Florida"
Fifth Third Bancorp,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"Cincinnati, Ohio"
First Solar,"sp500,sec_edgar",Information Technology,"Tempe, Arizona"
FirstEnergy,"sp500,sec_edgar",Utilities,"Akron, Ohio"
Fiserv,"sp500,sec_edgar",Financials,"Brookfield, Wisconsin"
Ford Motor Company,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Consumer Discretionary,"Dearborn, Michigan"
Fortinet,"sp500,sec_edgar",Information Technology,"Sunnyvale, California"
Fortive,"sp500,sec_edgar",Industrials,"Everett, Washington"
Fox Corporation(Class A),"sp500,sp500,sec_edgar,sec_edgar",Communication Services,"New York City, New York"
Franklin Resources,"sp500,sec_edgar",Financials,"San Mateo, California"
Freeport-McMoRan,"sp500,sec_edgar",Materials,"Phoenix, Arizona"
Garmin,"sp500,sec_edgar",Consumer Discretionary,"Schaffhausen, Switzerland"
Gartner,"sp500,sec_edgar",Information Technology,"Stamford, Connecticut"
GE Aerospace,sp500,Industrials,"Evendale, Ohio"
GE HealthCare,sp500,Health Care,"Chicago, Illinois"
GE Vernova,"sp500,sec_edgar",Industrials,"Cambridge, Massachusetts"
Gen Digital,"sp500,sec_edgar,sec_edgar",Information Technology,"Tempe, Arizona"
Generac,sp500,Industrials,"Waukesha, Wisconsin"
General Dynamics,"sp500,largest_us,sec_edgar",Industrials,"Reston, Virginia"
General Mills,"sp500,sec_edgar",Consumer Staples,"Golden Valley, Minnesota"
General Motors,"sp500,largest_us,sec_edgar",Consumer Discretionary,"Detroit, Michigan"
Genuine Parts Company,"sp500,sec_edgar",Consumer Discretionary,"Atlanta, Georgia"
Gilead Sciences,"sp500,sec_edgar",Health Care,"Foster City, California"
Global Payments,"sp500,sec_edgar",Financials,"Atlanta, Georgia"
Globe Life,"sp500,sec_edgar,sec_edgar",Financials,"McKinney, Texas"
GoDaddy,"sp500,sec_edgar",Information Technology,"Tempe, Arizona"
Goldman Sachs,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"New York City, New York"
Halliburton,"sp500,sec_edgar",Energy,"Houston, Texas"
Hartford (The),sp500,Financials,"Hartford, Connecticut"
Hasbro,"sp500,sec_edgar",Consumer Discretionary,"Pawtucket, Rhode Island"
HCA Healthcare,"sp500,largest_us,sec_edgar",Health Care,"Nashville, Tennessee"
Healthpeak Properties,"sp500,sec_edgar",Real Estate,"Denver, Colorado"
Henry Schein,"sp500,sec_edgar",Health Care,"Melville, New York"
Hershey Company (The),"sp500,sec_edgar",Consumer Staples,"Hershey, Pennsylvania"
Hewlett Packard Enterprise,"sp500,sec_edgar,sec_edgar",Information Technology,"Houston, Texas"
Hilton Worldwide,sp500,Consumer Discretionary,"Tysons Corner, Virginia"
Home Depot (The),"sp500,sec_edgar",Consumer Discretionary,"Atlanta, Georgia"
Honeywell,sp500,Industrials,"Charlotte, North Carolina"
Hormel Foods,sp500,Consumer Staples,"Austin, Minnesota"
Host Hotels & Resorts,"sp500,sec_edgar",Real Estate,"Bethesda, Maryland"
Howmet Aerospace,"sp500,sec_edgar",Industrials,"Pittsburgh, Pennsylvania"
HP Inc.,"sp500,largest_us,sec_edgar",Information Technology,"Palo Alto, California"
Hubbell Incorporated,sp500,Industrials,"Shelton, Connecticut"
Humana,"sp500,largest_us,sec_edgar",Health Care,"Louisville, Kentucky"
Huntington Bancshares,sp500,Financials,"Columbus, Ohio;Detroit, Michigan"
Huntington Ingalls Industries,"sp500,sec_edgar",Industrials,"Newport News, Virginia"
IBM,"sp500,largest_us",Information Technology,"Armonk, New York"
IDEX Corporation,sp500,Industrials,"Northbrook, Illinois"
Idexx Laboratories,sp500,Health Care,"Westbrook, Maine"
Illinois Tool Works,"sp500,sec_edgar",Industrials,"Glenview, Illinois"
Incyte,"sp500,sec_edgar",Health Care,"Wilmington, Delaware"
Ingersoll Rand,"sp500,sec_edgar",Industrials,"Davidson, North Carolina"
Insulet Corporation,"sp500,sec_edgar",Health Care,"Acton, Massachusetts"
Intel,"sp500,largest_us,sec_edgar",Information Technology,"Santa Clara, California"
Interactive Brokers,"sp500,sec_edgar",Financials,"Greenwich, Connecticut"
Intercontinental Exchange,"sp500,sec_edgar",Financials,"Atlanta, Georgia"
International Flavors & Fragrances,"sp500,sec_edgar",Materials,"New York City, New York"
International Paper,sp500,Materials,"Memphis, Tennessee"
Intuit,"sp500,sec_edgar",Information Technology,"Mountain View, California"
Intuitive Surgical,"sp500,sec_edgar",Health Care,"Sunnyvale, California"
Invesco,"sp500,sec_edgar",Financials,"Atlanta, Georgia"
Invitation Homes,"sp500,sec_edgar",Real Estate,"Dallas, Texas"
IQVIA,sp500,Health Care,"Durham, North Carolina"
Iron Mountain,"sp500,sec_edgar",Real Estate,"Portsmouth, New Hampshire"
J.B. Hunt,sp500,Industrials,"Lowell, Arkansas"
Jabil,"sp500,sec_edgar",Information Technology,"St. Petersburg, Florida"
Jack Henry & Associates,"sp500,sec_edgar",Financials,"Monett, Missouri"
Jacobs Solutions,"sp500,sec_edgar",Industrials,"Dallas, Texas"
Johnson & Johnson,"sp500,largest_us,sec_edgar",Health Care,"New Brunswick, New Jersey"
Johnson Controls,sp500,Industrials,"Cork, Ireland"
JPMorgan Chase,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"New York City, New York"
Kenvue,"sp500,sec_edgar",Consumer Staples,"Skillman, New Jersey"
Keurig Dr Pepper,"sp500,sec_edgar",Consumer Staples,"Burlington, Massachusetts"
KeyCorp,sp500,Financials,"Cleveland, Ohio"
Keysight Technologies,"sp500,sec_edgar",Information Technology,"Santa Rosa, California"
Kimberly-Clark,"sp500,sec_edgar",Consumer Staples,"Irving, Texas"
Kimco Realty,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Real Estate,"Jericho, New York"
Kinder Morgan,"sp500,sec_edgar,sec_edgar",Energy,"Houston, Texas"
KKR & Co.,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"New York City, New York"
KLA Corporation,"sp500,sec_edgar",Information Technology,"Milpitas, California"
Kraft Heinz,"sp500,sec_edgar",Consumer Staples,"Chicago, Illinois;Pittsburgh, Pennsylvania"
Kroger,"sp500,largest_us,sec_edgar",Consumer Staples,"Cincinnati, Ohio"
L3Harris,sp500,Industrials,"Melbourne, Florida"
Labcorp,sp500,Health Care,"Burlington, North Carolina"
Lam Research,"sp500,sec_edgar",Information Technology,"Fremont, California"
Las Vegas Sands,"sp500,sec_edgar",Consumer Discretionary,"Las Vegas, Nevada"
Leidos,sp500,Industrials,"Reston, Virginia"
Lennar,sp500,Consumer Discretionary,"Miami, Florida"
Lennox International,"sp500,sec_edgar",Industrials,"Richardson, Texas"
Lilly (Eli),sp500,Health Care,"Indianapolis, Indiana"
Linde plc,"sp500,sec_edgar",Materials,"Guildford, United Kingdom"
Live Nation Entertainment,"sp500,sec_edgar",Communication Services,"Beverly Hills, California"
Lockheed Martin,"sp500,largest_us,sec_edgar",Industrials,"Bethesda, Maryland"
Loews Corporation,"sp500,sec_edgar",Financials,"New York City, New York"
Lowe's,"sp500,largest_us",Consumer Discretionary,"Mooresville, North Carolina"
Lululemon Athletica,"sp500,sec_edgar",Consumer Discretionary,"Vancouver, Canada"
Lumentum,sp500,Information Technology,"San Jose, California"
LyondellBasell,sp500,Materials,"Rotterdam, Netherlands"
M&T Bank,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"Buffalo, New York"
Marathon Petroleum,"sp500,largest_us,sec_edgar",Energy,"Findlay, Ohio"
Marriott International,sp500,Consumer Discretionary,"Bethesda, Maryland"
Marsh McLennan,sp500,Financials,"New York City, New York"
Martin Marietta Materials,"sp500,sec_edgar",Materials,"Raleigh, North Carolina"
Masco,sp500,Industrials,"Livonia, Michigan"
Mastercard,"sp500,sec_edgar",Financials,"Harrison, New York"
McCormick & Company,"sp500,sec_edgar,sec_edgar",Consumer Staples,"Hunt Valley, Maryland"
McDonald's,"sp500,sec_edgar",Consumer Discretionary,"Chicago, Illinois"
McKesson Corporation,"sp500,largest_us,sec_edgar",Health Care,"Irving, Texas"
Medtronic,sp500,Health Care,"Galway, Ireland"
Merck & Co.,"sp500,largest_us,sec_edgar",Health Care,"Kenilworth, New Jersey"
Meta Platforms,"sp500,largest_us,sec_edgar",Communication Services,"Menlo Park, California"
MetLife,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"New York City, New York"
Mettler Toledo,sp500,Health Care,"Columbus, Ohio"
MGM Resorts,sp500,Consumer Discretionary,"Paradise, Nevada"
Microchip Technology,"sp500,sec_edgar,sec_edgar",Information Technology,"Chandler, Arizona"
Micron Technology,"sp500,sec_edgar",Information Technology,"Boise, Idaho"
Microsoft,"sp500,largest_us,sec_edgar",Information Technology,"Redmond, Washington"
